Package                         Current    Wanted    Latest  Location                                    Depended by
@ai-sdk/anthropic                3.0.81    3.0.87     4.0.0  node_modules/@ai-sdk/anthropic              helmv3
@axe-core/playwright             4.11.3    4.12.1    4.12.1  node_modules/@axe-core/playwright           helmv3
@capacitor/cli                    8.4.0     8.4.1     8.4.1  node_modules/@capacitor/cli                 helmv3
@capacitor/core                   8.4.0     8.4.1     8.4.1  node_modules/@capacitor/core                helmv3
@capacitor/ios                    8.4.0     8.4.1     8.4.1  node_modules/@capacitor/ios                 helmv3
@capacitor/keyboard               8.0.3     8.0.5     8.0.5  node_modules/@capacitor/keyboard            helmv3
@datadog/browser-logs            6.25.3    6.33.0     7.4.0  node_modules/@datadog/browser-logs          helmv3
@datadog/browser-rum             6.25.3    6.33.0     7.4.0  node_modules/@datadog/browser-rum           helmv3
@eslint/js                       9.39.2    9.39.4    10.0.1  node_modules/@eslint/js                     helmv3
@next/bundle-analyzer            16.1.1    16.2.9    16.2.9  node_modules/@next/bundle-analyzer          helmv3
@playwright/test                 1.57.0    1.61.1    1.61.1  node_modules/@playwright/test               helmv3
@radix-ui/react-dialog           1.1.16    1.1.17    1.1.17  node_modules/@radix-ui/react-dialog         helmv3
@radix-ui/react-dropdown-menu    2.1.17    2.1.18    2.1.18  node_modules/@radix-ui/react-dropdown-menu  helmv3
@radix-ui/react-popover          1.1.16    1.1.17    1.1.17  node_modules/@radix-ui/react-popover        helmv3
@radix-ui/react-slot              1.2.5     1.3.0     1.3.0  node_modules/@radix-ui/react-slot           helmv3
@radix-ui/react-tabs             1.1.14    1.1.15    1.1.15  node_modules/@radix-ui/react-tabs           helmv3
@radix-ui/react-toggle-group     1.1.12    1.1.13    1.1.13  node_modules/@radix-ui/react-toggle-group   helmv3
@radix-ui/react-tooltip           1.2.9    1.2.10    1.2.10  node_modules/@radix-ui/react-tooltip        helmv3
@sentry/nextjs                  10.56.0   10.61.0   10.61.0  node_modules/@sentry/nextjs                 helmv3
@sentry/profiling-node          10.56.0   10.61.0   10.61.0  node_modules/@sentry/profiling-node         helmv3
@supabase/ssr                    0.10.3    0.10.3    0.12.0  node_modules/@supabase/ssr                  helmv3
@supabase/supabase-js           2.107.0   2.108.2   2.108.2  node_modules/@supabase/supabase-js          helmv3
@types/mapbox-gl                  3.5.0     3.5.0     3.4.1  node_modules/@types/mapbox-gl               helmv3
@types/node                      25.9.2    25.9.4    26.0.1  node_modules/@types/node                    helmv3
@upstash/ratelimit               v2.0.8     2.0.8     2.0.8  node_modules/@upstash/ratelimit             helmv3
@vercel/analytics                 1.6.1     1.6.1     2.0.1  node_modules/@vercel/analytics              helmv3
@visx/visx                       3.12.0    3.12.0     4.0.0  node_modules/@visx/visx                     helmv3
@vitejs/plugin-react              5.1.3     5.2.0     6.0.3  node_modules/@vitejs/plugin-react           helmv3
@vitest/coverage-v8              4.0.18     4.1.9     4.1.9  node_modules/@vitest/coverage-v8            helmv3
@vitest/ui                       4.0.18     4.1.9     4.1.9  node_modules/@vitest/ui                     helmv3
ai                              6.0.197   6.0.197     7.0.2  node_modules/ai                             helmv3
autoprefixer                     10.5.0    10.5.2    10.5.2  node_modules/autoprefixer                   helmv3
dotenv                           16.6.1    16.6.1    17.4.2  node_modules/dotenv                         helmv3
eslint                           9.39.2    9.39.4    10.5.0  node_modules/eslint                         helmv3
eslint-plugin-react-hooks         7.0.1     7.1.1     7.1.1  node_modules/eslint-plugin-react-hooks      helmv3
framer-motion                   12.40.0   12.42.0   12.42.0  node_modules/framer-motion                  helmv3
inngest                           4.5.0    4.11.0    4.11.0  node_modules/inngest                        helmv3
jsdom                            28.0.0    28.1.0    29.1.1  node_modules/jsdom                          helmv3
knip                             5.88.1    5.88.1    6.20.0  node_modules/knip                           helmv3
lenis                            1.3.23    1.3.24    1.3.24  node_modules/lenis                          helmv3
lucide-react                    0.562.0   0.562.0    1.21.0  node_modules/lucide-react                   helmv3
mapbox-gl                        3.24.0    3.25.0    3.25.0  node_modules/mapbox-gl                      helmv3
next                             16.2.7    16.2.9    16.2.9  node_modules/next                           helmv3
posthog-js                      1.386.4   1.393.5   1.393.5  node_modules/posthog-js                     helmv3
posthog-node                     4.18.0    4.18.0    5.38.5  node_modules/posthog-node                   helmv3
promptfoo                      0.121.12  0.121.17  0.121.17  node_modules/promptfoo                      helmv3
recharts                          3.8.1     3.9.0     3.9.0  node_modules/recharts                       helmv3
resend                           6.12.4    6.14.0    6.14.0  node_modules/resend                         helmv3
supabase                         2.98.2   2.108.0   2.108.0  node_modules/supabase                       helmv3
svix                             1.95.1    1.96.1    1.96.1  node_modules/svix                           helmv3
tailwindcss                      3.4.19    3.4.19     4.3.1  node_modules/tailwindcss                    helmv3
tsx                              4.22.3    4.22.4    4.22.4  node_modules/tsx                            helmv3
typescript                        5.9.3     5.9.3     6.0.3  node_modules/typescript                     helmv3
typescript-eslint                8.53.0    8.62.0    8.62.0  node_modules/typescript-eslint              helmv3
vitest                            4.1.8     4.1.9     4.1.9  node_modules/vitest                         helmv3
